snapped_at,price,market_cap,total_volume
2015-02-28 00:00:00 UTC,0.00226245,0.0,1383.0
2015-03-01 00:00:00 UTC,0.00236779,0.0,646.0
2015-03-02 00:00:00 UTC,0.00211409,0.0,1491.0
2015-03-03 00:00:00 UTC,0.00195356,0.0,84.0
2015-03-04 00:00:00 UTC,0.00183452,0.0,958.0
2015-03-05 00:00:00 UTC,0.00152927,0.0,557.0
2015-03-06 00:00:00 UTC,0.00114812,0.0,693.0
2015-03-07 00:00:00 UTC,0.00130327,0.0,150.0
2015-03-08 00:00:00 UTC,0.00136836,0.0,36.0
2015-03-09 00:00:00 UTC,0.00131175,0.0,53.0
2015-03-10 00:00:00 UTC,0.00139127,0.0,62.0
2015-03-11 00:00:00 UTC,0.00140722,0.0,74.0
2015-03-12 00:00:00 UTC,0.00140843,0.0,700.0
2015-03-13 00:00:00 UTC,0.00133891,0.0,482.0
2015-03-14 00:00:00 UTC,0.00115669,0.0,198.0
2015-03-15 00:00:00 UTC,0.00128589,457296.0,859.0
2015-03-16 00:00:00 UTC,0.00129526,460710.0,31.0
2015-03-17 00:00:00 UTC,0.000983762,349982.0,216.0
2015-03-18 00:00:00 UTC,0.000963884,342988.0,81.0
2015-03-19 00:00:00 UTC,0.00101609,361653.0,340.0
2015-03-20 00:00:00 UTC,0.00122871,437428.0,232.0
2015-03-21 00:00:00 UTC,0.00102668,365592.0,44.0
2015-03-22 00:00:00 UTC,0.00084371,300509.0,384.0
2015-03-23 00:00:00 UTC,0.0010611,378034.0,58.0
2015-03-24 00:00:00 UTC,0.000911203,324712.0,81.0
2015-03-25 00:00:00 UTC,0.000873723,311429.0,55.0
2015-03-26 00:00:00 UTC,0.00081334,289971.0,227.0
2015-03-27 00:00:00 UTC,0.000990586,353246.0,52.0
2015-03-28 00:00:00 UTC,0.00112219,400257.0,317.0
2015-03-29 00:00:00 UTC,0.00114707,409217.0,124.0
2015-03-31 00:00:00 UTC,0.00096356,343807.0,107.0
2015-04-01 00:00:00 UTC,0.00109808,391877.0,68.0
2015-04-02 00:00:00 UTC,0.000886106,316292.0,146.0
2015-04-03 00:00:00 UTC,0.000878113,313505.0,7.0
2015-04-04 00:00:00 UTC,0.000931558,332650.0,8.0
2015-04-05 00:00:00 UTC,0.000927758,331359.0,36.0
2015-04-06 00:00:00 UTC,0.00103843,370950.0,21.0
2015-04-07 00:00:00 UTC,0.00115266,411832.0,114.0
2015-04-08 00:00:00 UTC,0.00112737,402873.0,791.0
2015-04-09 00:00:00 UTC,0.000970360818,346889.64370958426,109.92687370983009
2015-04-10 00:00:00 UTC,0.000790350261,282584.6522876712,559.7431391134053
2015-04-11 00:00:00 UTC,0.0009458004,338164.8496318272,116.33062221629014
2015-04-12 00:00:00 UTC,0.00097831519,349790.3036611979,2.720526066909345
2015-04-13 00:00:00 UTC,0.000792770256,283605.96117386647,885.8291160215042
2015-04-14 00:00:00 UTC,0.0007847982,280794.494030454,5.475512254859466
2015-04-15 00:00:00 UTC,0.0006690483,239420.7057948984,7.987130764792184
2015-04-16 00:00:00 UTC,0.00091655799,328045.636824096,206.69244657762115
2015-04-17 00:00:00 UTC,0.000889668,318476.772434808,756.227830071054
2015-04-18 00:00:00 UTC,0.000664402026,237879.306944099,138.57703443261252
2015-04-19 00:00:00 UTC,0.000663589976,237627.05932094314,123.20831392586143
2015-04-20 00:00:00 UTC,0.000663953456,237804.71030080688,395.4408488017603
2015-04-21 00:00:00 UTC,0.000708753834,253896.74136803785,19.25206535994548
2015-04-22 00:00:00 UTC,0.00081823245,293169.9719397309,57.86086052716089
2015-04-23 00:00:00 UTC,0.000754906935,270492.2891844135,2.9750674158993173
2015-04-24 00:00:00 UTC,0.000607493969,217672.4397697249,984.9210870162264
